id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet,user_coordinates,modified_text,sentiment,sent_score,cases,deaths
1337842295857623042,Ch.Amjad Ali,Islamabad,"#ProudPakistani #LovePakArmy #PMIK @insafianspower1
#PoliticalScience #InternationalAffairs
#PAKUSTV #Newyork #Islamabad",2012-11-12,671,2368,20469,False,2020-12-12,"#CovidVaccine

States will start getting #COVID19Vaccine Monday, #US says
#pakustv #NYC #Healthcare #GlobalGoals… https://t.co/MksOvBvs5w","['CovidVaccine', 'COVID19Vaccine', 'US', 'pakustv', 'NYC', 'Healthcare', 'GlobalGoals']",Twitter Web App,0.0,0.0,False,"[73.0651511, 33.6938118]","#CovidVaccine

States will start getting #COVID19Vaccine Monday, #US says
#pakustv #NYC #Healthcare #GlobalGoals… https://t.co/MksOvBvs5w",neutral,0.0,635072.0,10636.0
1337783770070409218,ILKHA,Türkiye,Official Twitter account of Ilke News Agency /,2015-05-22,4056,6,3,True,2020-12-12,"Coronavirus: Iran reports 8,201 new cases, 221 deaths in the last 24 hours #Iran #coronavirus #PfizerBioNTech… https://t.co/mwDNAdmb7F","['Iran', 'coronavirus', 'PfizerBioNTech']",TweetDeck,3.0,5.0,False,"[34.9249653, 38.9597594]","Coronavirus: Iran reports 8,201 new cases, 221 deaths in the last 24 hours #Iran #coronavirus #PfizerBioNTech… https://t.co/mwDNAdmb7F",positive,0.0681818181818181,635072.0,10636.0
1337760271151063040,Andy Thomas,London,Retweets not necessarily endorsements.,2009-03-07,1151,4301,95963,False,2020-12-12,"@ZubyMusic 6 deaths so far.
It's only death, nothing to worry about then 🤔
#CovidVaccines
#Pfizervaccine… https://t.co/HkGTDM5J3f","['CovidVaccines', 'Pfizervaccine']",Twitter for Android,0.0,2.0,False,"[-0.1276474, 51.5073219]","@ZubyMusic 6 deaths so far.
It's only death, nothing to worry about then 🤔
#CovidVaccines
#Pfizervaccine… https://t.co/HkGTDM5J3f",positive,0.05,635072.0,10636.0
1337727767551553536,Daily News Egypt,Egypt,Egypt's Only Daily Independent Newspaper in English,2009-04-26,278080,116,765,True,2020-12-12,"#FDA authorizes #PfizerBioNTech #coronavirus vaccine for emergency use
https://t.co/VZ6bDPbbPG","['FDA', 'PfizerBioNTech', 'coronavirus']",Twitter Web App,1.0,1.0,False,"[29.2675469, 26.2540493]","#FDA authorizes #PfizerBioNTech #coronavirus vaccine for emergency use
https://t.co/VZ6bDPbbPG",neutral,0.0,635072.0,10636.0
1340571472025141248,IP_Man,America,"One Man,
With One Statistically Impossible Graph,
The Republic Of The United States At Stake,
You Need To Wake Up Friends Neighbors To The Fact They CHEATED!",2012-06-21,625,477,14475,False,2020-12-20,"When The #CovidVaccine
Poisons Enough Of The LEFT With ""Side Effects"" Like #BellsPalsy Or ☠️ As They Are Flocking… https://t.co/mGNvf2XT8i","['CovidVaccine', 'BellsPalsy']",Twitter Web App,0.0,0.0,False,"[5.9799001, 51.4371483]","When The #CovidVaccine
Poisons Enough Of The LEFT With ""Side Effects"" Like #BellsPalsy Or ☠️ As They Are Flocking… https://t.co/mGNvf2XT8i",neutral,0.0,533400.0,8006.0
1338574693087936513,Prof. Manish Thakur,India,#Proprietor English Academy #Blockchain #AI #IoT #Fintech #BigData #AR #VR #ML #finserv #iiot #cryptocurrencies #finance  #spotifypodcast - The Alchemist Reads,2012-06-11,3372,1713,119631,False,2020-12-14,#UgurSahin #ozlemtureci the #Muslim Scientists Husband-Wife are saving the world with their #PfizerBioNTech… https://t.co/g5zKRNrxMu,"['UgurSahin', 'ozlemtureci', 'Muslim', 'PfizerBioNTech']",Twitter for Android,0.0,0.0,False,"[78.6677428, 22.3511148]",#UgurSahin #ozlemtureci the #Muslim Scientists Husband-Wife are saving the world with their #PfizerBioNTech… https://t.co/g5zKRNrxMu,neutral,0.0,524364.0,9270.0
1338555378448076803,Aru Sivananthan 🇬🇧 🇦🇺,London,"Chair British #Tamil Conservatives, @BTConservatives, #HumanRights, #CivilLiberty, #FreeMarkets, Love #London, Second home #Sydney. Retweets Not Endorsement",2009-07-03,1066,735,4213,False,2020-12-14,Privileged be offered the #PfizerBioNTech vaccine. I would encourage everyone to take it up. It’ll help protect peo… https://t.co/GSuAZ6F5YT,['PfizerBioNTech'],Twitter for iPhone,1.0,4.0,False,"[-0.1276474, 51.5073219]",Privileged be offered the #PfizerBioNTech vaccine. I would encourage everyone to take it up. It’ll help protect peo… https://t.co/GSuAZ6F5YT,neutral,0.0,524364.0,9270.0
1338551175587786752,India Blooms,India,A news and reference portal on India and a 24X7 news service,2009-10-10,16816,2448,20,False,2020-12-14,"Toronto to receive Ontario's 1st doses of Pfizer COVID-19 vaccine today
https://t.co/Tt7qxCQqDY
#Ontario… https://t.co/vacMDknWAV",['Ontario'],Twitter Web App,0.0,0.0,False,"[78.6677428, 22.3511148]","Toronto to receive Ontario's 1st doses of Pfizer COVID-19 vaccine today
https://t.co/Tt7qxCQqDY
#Ontario… https://t.co/vacMDknWAV",neutral,0.0,524364.0,9270.0
1338548332218630144,Evan Webeck,Oakland,S̶p̶o̶r̶t̶s̶ coronavirus reporter for @mercnews/@EastBayTimes. Formerly @seattletimes ⛰. Contact: ewebeck@bayareanewsgroup.com.,2013-12-02,1296,543,10844,True,2020-12-14,"There is some good news: The first doses of the #PfizerBioNTech vaccine arrived in California last night.

Gov. Gav… https://t.co/cB3p7CivgW",['PfizerBioNTech'],TweetDeck,0.0,1.0,False,"[-122.2713563, 37.8044557]","There is some good news: The first doses of the #PfizerBioNTech vaccine arrived in California last night.

Gov. Gav… https://t.co/cB3p7CivgW",positive,0.3166666666666666,524364.0,9270.0
1338546341404930050,Human_9.0,Madchester,"Fighting For Freedom 🇬🇧 🇺🇸 🇨🇦 🇦🇺 🇳🇿
I'm not a Q, left or right. I'm neutral.",2020-10-07,590,987,7609,False,2020-12-14,WHERE IS THE PANDEMIC ? #PCRGATE #Condemic #BillGatesIsNotADoctor #PfizerBioNTech #Moderna #AstraZeneca… https://t.co/4I7rhvI5es,"['PCRGATE', 'Condemic', 'BillGatesIsNotADoctor', 'PfizerBioNTech', 'Moderna', 'AstraZeneca']",Twitter Web App,0.0,2.0,False,"[-72.6042555, -38.7396191]",WHERE IS THE PANDEMIC ? #PCRGATE #Condemic #BillGatesIsNotADoctor #PfizerBioNTech #Moderna #AstraZeneca… https://t.co/4I7rhvI5es,neutral,0.0,524364.0,9270.0
